strain,distance,vrec1,vstim1,istim1,vrec1_nmda,vstim1_nmda,istim1_nmda,rin1,rin2,rin1_nmda,rin2_nmda,vm1,vm2,vm1_nmda,vm2_nmda,cc,cc_nmda,xfer,xfer_nmda,gj,gj_nmda,cc_change,cc_pchange,rin_change,rin_pchange,gj_change,gj_pchange,vm_change,bins
cre,0,-0.01504,-30.769,-300,-0.0578,-28.3721,-302.44501,102.5633333333,177.1056666667,93.8091192181,136.6100071031,-32.62,,-28.19,,0.0488803666,0.2037212614,0.0501333333,0.191109121,2.7599553581,14.9126587645,0.1548408948,316.7752321411,-8.7542141153,-8.5354227781,12.1527034064,440.3224628578,4.43,10
cre,0,-0.02386,-53.1317,-300,-0.04147,-41.3498,-302.685,177.1056666667,102.5633333333,136.6100071031,93.8091192181,-61.93,,-56.98,,0.0449072776,0.1002906906,0.0795333333,0.1370071196,4.3784939271,10.6909475731,0.0553834131,123.3283691576,-40.4956595636,-22.8652534533,6.3124536459,144.1695192683,4.95,10
cre,20,-0.06379,-36.2617,-300,,,,120.8723333333,33.8896666667,,,-48.37,,,,0.1759156355,,0.2126333333,,51.9089133912,,,,,,,,,30
ko,15,-0.01674,-42.9796,-299.38599,-0.01256,-32.3936,-302.685,143.5591558576,223.1406483429,107.0208302361,119.0684945819,-47.64,,-44.62,,0.0389487106,0.038773091,0.0559144401,0.0414952839,1.7454782283,3.2563690636,-0.0001756196,-0.4508995744,-36.5383256216,-25.4517556914,1.5108908353,86.5602796315,3.02,10
ko,20,-0.25313,-49.63232,-302.4512,-0.24647,-48.1527,-302.448,164.1002581573,73.8762872177,159.2098476432,81.5074829033,-49.11,,-44.28,,0.5100104126,0.5118508412,0.8369284037,0.8149169444,69.0397285582,62.8012322721,0.0018404286,0.3608609869,-4.8904105141,-2.9801357835,-6.2384962861,-9.0360961962,4.83,30
ko,20,-0.06945,-22.3608,-302.67899,-0.23875,-24.6715,-302.69,73.8762872177,164.1002581573,81.5074829033,159.2098476432,-40.23,,-39.43,,0.3105881722,0.9677157854,0.2294510101,0.7887607784,18.9268148912,60.7853218224,0.6571276133,211.5752215209,7.6311956856,10.3296957292,41.8585069312,221.1598051334,0.8,30
ko,10,-0.0308251996,-17.59322166,-302.4091187,-0.0219609998,-21.58081055,-302.4182129,58.1768887646,104.9302522344,71.3608163445,195.9203826901,-26.55,,-23.03,,0.1752106589,0.1017617005,0.1019321102,0.0726179802,16.6978496125,5.1940353269,-0.0734489584,-41.9203710976,13.18392758,22.6617955342,-11.5038142856,-68.8939866664,3.52,10
ko,10,-0.00250021,-31.75909996,-302.6686707,-0.000531129,-59.27801132,-302.5617371,104.9302522344,58.1768887646,195.9203826901,71.3608163445,-59.45,,-20.66,,0.0078724208,0.0008959967,0.008260551,0.0017554401,1.3531869928,0.1255586334,-0.0069764242,-88.6185370804,90.9901304557,86.7148687038,-1.2276283595,-90.7212651296,38.79,10
ko,0,-0.026416,-50.18044662,-302.4074402,-0.0044363202,-49.61116409,-302.4073486,165.9365476815,160.364654056,164.0540956418,93.7654015016,-5.75,,-57.4,,0.0526420185,0.0089421812,0.0873523482,0.0146700145,3.2826456627,0.9536760047,-0.0436998373,-83.0132250322,-1.8824520398,-1.1344408848,-2.328969658,-70.9479455683,-51.65,10
ko,0,-0.000486363,-48.37633133,-301.6645508,-0.00142913,-28.37985229,-302.6687012,160.364654056,165.9365476815,93.7654015016,164.0540956418,-55.98,,-59.06,,0.0010053739,0.0050357204,0.0016122643,0.0047217634,0.0605878509,0.3069548705,0.0040303465,400.8803643301,-66.5992525544,-41.5298825956,0.2463670195,406.6277574212,-3.08,10
wt,30,-0.00602,-35.9294,-301.44901,-0.00846,-34.13363,-302.43063,119.1889799207,23.8216630016,112.86432859,22.2023218599,-45.19,,-43.18,,0.0167550808,0.0247849408,0.0199702099,0.0279733571,7.0335488961,11.163223707,0.00802986,47.924925781,-6.3246513307,-5.3064061249,4.1296748109,58.7139560967,2.01,30
wt,30,-0.000696,-7.20379,-302.405,0,-6.71983,-302.66339,23.8216630016,119.1889799207,22.2023218599,112.86432859,-46.43,,-44.18,,0.0096615809,-0,0.0023015492,-0,0.8106102546,,-0.0096615809,-100,-1.6193411417,-6.7977669802,,,2.25,30
wt,10,-0.05738,-85.5095,-201.664,-0.0530308001,-17.65080452,-302.4080505,424.0196564583,317.2309123016,58.3675087049,103.4909344598,-50.45,,-24.28,,0.0671036551,0.3004440961,0.284532688,0.175361734,2.1152949771,29.0311056948,0.233340441,347.7313425955,-365.6521477533,-86.2347162883,26.9158107177,1272.4376982472,26.17,10
wt,10,0,-62.2959,-196.37399,-0.0076464899,-31.32367516,-302.6707153,317.2309123016,424.0196564583,103.4909344598,58.3675087049,-51.8,,-48.44,,-0,0.0244112157,-0,0.0252633952,,4.1823299973,,,-213.7399778418,-67.3767812509,,,3.36,10
